Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,county,state_name,display_name,lat,lon,geocode_status,county_fips
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",Cook County,Illinois,"Northbrook, Northfield Township, Cook County, Illinois, United States",42.128704,-87.8265089,ok,17031
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",Santa Clara County,California,"Santa Clara County, California, United States",37.2333253,-121.6846349,ok,06085
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",Santa Clara County,California,"Santa Clara County, California, United States",37.2333253,-121.6846349,ok,06085
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",Chester County,Pennsylvania,"Berwyn, Devon, Easttown Township, Chester County, Pennsylvania, 19312, United States",40.0462359,-75.4421411,ok,42029
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",Ventura County,California,"Thousand Oaks, Ventura County, California, United States",34.1705609,-118.8375937,ok,06111
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",Hennepin County,Minnesota,"Minneapolis, Hennepin County, Minnesota, United States",44.9772995,-93.2654692,ok,27053
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",Suffolk County,Massachusetts,"Boston, Suffolk County, Massachusetts, United States",42.3588336,-71.0578303,ok,25025
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",King County,Washington,"Seattle, King County, Washington, United States",47.6038321,-122.330062,ok,53033
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",Santa Clara County,California,"Santa Clara County, California, United States",37.2333253,-121.6846349,ok,06085
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",Milwaukee County,Wisconsin,"Milwaukee, Milwaukee County, Wisconsin, United States",43.0386475,-87.9090751,ok,55079
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",Harris County,Texas,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,ok,48201
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",Lehigh County,Pennsylvania,"Upper Macungie Township, Lehigh County, Pennsylvania, United States",40.5735876,-75.614631,ok,42077
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",South Central Connecticut Planning Region,Connecticut,"Wallingford, South Central Connecticut Planning Region, Connecticut, 06492, United States",41.4564233,-72.8239356,ok,
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",New York,New York,"New York, United States",40.7127281,-74.0060152,ok,36061
APP,AppLovin,Information Technology,Application Software,"Palo Alto, California",Santa Clara County,California,"Palo Alto, Santa Clara County, California, United States",37.4443293,-122.1598465,ok,06085
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",Los Angeles County,California,"Pasadena, Los Angeles County, California, United States",34.1476507,-118.144155,ok,06037
ARES,Ares Management,Financials,Asset Management & Custody Banks,"Los Angeles, California",Los Angeles County,California,"Los Angeles, Los Angeles County, California, United States",34.0536909,-118.242766,ok,06037
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",Dallas County,Texas,"Dallas, Dallas County, Texas, United States",32.7762719,-96.7968559,ok,48113
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",Arlington County,Virginia,"Arlington County, Virginia, United States",38.8769326,-77.0893094,ok,51013
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",Santa Clara County,California,"Palo Alto, Santa Clara County, California, United States",37.4443293,-122.1598465,ok,06085
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",Lake County,Ohio,"Mentor, Lake County, Ohio, 44060, United States",41.6664781,-81.3399769,ok,39085
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",Camden County,New Jersey,"Camden, Camden County, New Jersey, United States",39.9448402,-75.1198911,ok,34007
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",Maricopa County,Arizona,"Scottsdale, Maricopa County, Arizona, United States",33.4942189,-111.926018,ok,04013
AXP,American Express,Financials,Consumer Finance,"New York City, New York",New York,New York,"New York, United States",40.7127281,-74.0060152,ok,36061
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",Shelby County,Tennessee,"Memphis, Shelby County, West Tennessee, Tennessee, United States",35.146026,-90.0517786,ok,47157
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",Arlington County,Virginia,"Arlington County, Virginia, United States",38.8769326,-77.0893094,ok,51013
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",Mecklenburg County,North Carolina,"Charlotte, Mecklenburg County, North Carolina, United States",35.2272086,-80.8430827,ok,37119
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",Broomfield,Colorado,"Broomfield, Colorado, United States",39.9403995,-105.05208,ok,08014
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",Lake County,Illinois,"Deerfield, Lake County, Illinois, 60015, United States",42.1711365,-87.8445119,ok,17097
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",Hennepin County,Minnesota,"Richfield, Hennepin County, Minnesota, 55423, United States",44.8766431,-93.2877877,ok,27053
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",Bergen County,New Jersey,"Franklin Lakes, Bergen County, New Jersey, 07417, United States",41.0167639,-74.2057012,ok,34003
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",San Mateo County,California,"San Mateo County, California, United States",37.496904,-122.3330573,ok,06081
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",Jefferson County,Kentucky,"Louisville, Jefferson County, Kentucky, United States",38.2542376,-85.759407,ok,21111
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",Saint Louis County,Missouri,"Chesterfield, Saint Louis County, Missouri, United States",38.6581764,-90.5680617,ok,
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,"Cambridge, Middlesex County, Massachusetts, United States",42.3656347,-71.1040018,ok,25017
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",Western Connecticut Planning Region,Connecticut,"Norwalk, Western Connecticut Planning Region, Connecticut, United States",41.1175966,-73.4078968,ok,
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",Harris County,Texas,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,ok,48201
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",Dallas County,Texas,"Irving, Dallas County, Texas, United States",32.8295183,-96.9442177,ok,48113
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",New York,New York,"New York, United States",40.7127281,-74.0060152,ok,36061
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",New York,New York,"New York, United States",40.7127281,-74.0060152,ok,36061
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",New York,New York,"New York, United States",40.7127281,-74.0060152,ok,36061
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",Nassau County,New York,"Village of Lake Success, Town of North Hempstead, Nassau County, New York, United States",40.7706572,-73.7176312,ok,36059
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",Douglas County,Nebraska,"Omaha, Douglas County, Nebraska, United States",41.2587459,-95.9383758,ok,31055
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",Volusia County,Florida,"Daytona Beach, Volusia County, Florida, United States",29.2108147,-81.0228331,ok,12127
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",Middlesex County,Massachusetts,"Marlborough, Middlesex County, Massachusetts, 01752, United States",42.3468589,-71.5525188,ok,25017
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",New York,New York,"New York, United States",40.7127281,-74.0060152,ok,36061
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",Suffolk County,Massachusetts,"Boston, Suffolk County, Massachusetts, United States",42.3588336,-71.0578303,ok,25025
C,Citigroup,Financials,Diversified Banks,"New York City, New York",New York,New York,"New York, United States",40.7127281,-74.0060152,ok,36061
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",Cook County,Illinois,"Chicago, South Chicago Township, Cook County, Illinois, United States",41.8755616,-87.6244212,ok,17031
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",Franklin County,Ohio,"Dublin, Washington Township, Franklin County, Ohio, 43016, United States",40.0996009,-83.1135563,ok,39049
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",Palm Beach County,Florida,"Palm Beach Gardens, Palm Beach County, Florida, United States",26.8233946,-80.1386547,ok,12099
CASY,Casey's,Consumer Staples,Food Retail,"Ankeny, Iowa",Polk County,Iowa,"Ankeny, Polk County, Iowa, United States",41.7320796,-93.605092,ok,19153
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",Dallas County,Texas,"Irving, Dallas County, Texas, United States",32.8295183,-96.9442177,ok,48113
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",,,,,,error:HTTPError,
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",Dallas County,Texas,"Dallas, Dallas County, Texas, United States",32.7762719,-96.7968559,ok,48113
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",Harris County,Texas,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,ok,48201
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",Miami-Dade County,Florida,"Miami, Miami-Dade County, Florida, United States",25.7741566,-80.1935973,ok,12086
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",Santa Clara County,California,"San Jose, Santa Clara County, California, United States",37.3361663,-121.890591,ok,06085
CDW,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois",Lake County,Illinois,"Vernon Hills, Lake County, Illinois, 60061, United States",42.2373152,-87.9649487,ok,17097
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",Baltimore,Maryland,"Baltimore, Maryland, United States",39.2908816,-76.610759,ok,24510
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",Lake County,Illinois,"Deerfield, Lake County, Illinois, 60015, United States",42.1711365,-87.8445119,ok,17097
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",Providence County,Rhode Island,"Providence, Providence County, Rhode Island, United States",41.8239891,-71.4128343,ok,44007
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",Mercer County,New Jersey,"Ewing, Ewing Township, Mercer County, New Jersey, 08628, United States",40.2688105,-74.8006895,ok,34021
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",Hennepin County,Minnesota,"Eden Prairie, Hennepin County, Minnesota, United States",44.8546856,-93.470786,ok,27053
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",Western Connecticut Planning Region,Connecticut,"Stamford, Western Connecticut Planning Region, Connecticut, United States",41.0534302,-73.5387341,ok,
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",Capitol Planning Region,Connecticut,"Bloomfield, Capitol Planning Region, Connecticut, 06002, United States",41.8313002,-72.7370265,ok,
CIEN,Ciena,Information Technology,Communications Equipment,"Hanover, Maryland",Howard County,Maryland,"Hanover, Howard County, Maryland, 21076, United States",39.1928853,-76.7241371,ok,24027
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",Fairfield County,Ohio,"Fairfield County, Ohio, United States",39.7886111,-82.6418883,ok,39045
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",New York,New York,"New York, United States",40.7127281,-74.0060152,ok,36061
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",Alameda County,California,"Oakland, Alameda County, California, United States",37.8044557,-122.271356,ok,06001
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",Philadelphia County,Pennsylvania,"Philadelphia, Philadelphia County, Pennsylvania, United States",39.9527237,-75.1635262,ok,42101
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",Cook County,Illinois,"Chicago, South Chicago Township, Cook County, Illinois, United States",41.8755616,-87.6244212,ok,17031
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",Orange County,California,"Newport Beach, Orange County, California, United States",33.6170092,-117.9294401,ok,06059
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",Bartholomew County,Indiana,"Columbus, Bartholomew County, Indiana, United States",39.2014405,-85.9213796,ok,18005
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",Jackson County,Michigan,"Jackson County, Michigan, United States",42.2416466,-84.425589,ok,26075
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",Saint Louis,Missouri,"Saint Louis, Missouri, United States",38.6254063,-90.190009,ok,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",Harris County,Texas,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,ok,48201
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",Fairfax County,Virginia,"Tysons, Fairfax County, Virginia, 22103, United States",38.9191272,-77.2229636,ok,51600
COHR,Coherent Corp.,Information Technology,Electronic Components,"Saxonburg, Pennsylvania",Butler County,Pennsylvania,"Saxonburg, Butler County, Pennsylvania, United States",40.7506014,-79.8141177,ok,42019
COIN,Coinbase,Financials,Financial Exchanges & Data,"New York City, New York",New York,New York,"New York, United States",40.7127281,-74.0060152,ok,36061
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",Contra Costa County,California,"San Ramon, Contra Costa County, California, United States",37.7648021,-121.9544387,ok,06013
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",Harris County,Texas,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,ok,48201
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",Montgomery County,Pennsylvania,"Conshohocken, Montgomery County, Pennsylvania, 19428, United States",40.0738835,-75.30625,ok,42091
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",King County,Washington,"Issaquah, King County, Washington, United States",47.5348778,-122.043297,ok,53033
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",Fulton County,Georgia,"Atlanta, Fulton County, Georgia, United States",33.7544657,-84.3898151,ok,13121
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",Dallas County,Texas,"Dallas, Dallas County, Texas, United States",32.7762719,-96.7968559,ok,48113
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",Harris County,Texas,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,ok,48201
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",Middlesex County,Massachusetts,"Wilmington, Middlesex County, Massachusetts, 01887, United States",42.5464828,-71.1736669,ok,25017
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",San Francisco,California,"San Francisco, California, United States",37.7879363,-122.4075201,ok,06075
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",Travis County,Texas,"Austin, Travis County, Texas, United States",30.2711286,-97.7436995,ok,48453
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",Santa Clara County,California,"San Jose, Santa Clara County, California, United States",37.3361663,-121.890591,ok,06085
CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",Duval County,Florida,"Jacksonville, Duval County, Florida, United States",30.3262247,-81.6579179,ok,12031
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",Warren County,Ohio,"Mason, Warren County, Ohio, United States",39.3600586,-84.309939,ok,39165
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",Bergen County,New Jersey,"Teaneck Township, Bergen County, New Jersey, United States",40.8860164,-74.0072568,ok,34003
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",Marion County,Indiana,"Indianapolis, Marion County, Indiana, United States",39.7683331,-86.1583502,ok,18097
CVNA,Carvana,Consumer Discretionary,Automotive Retail,"Tempe, Arizona",Maricopa County,Arizona,"Tempe, Maricopa County, Arizona, United States",33.4255117,-111.940016,ok,04013
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",Providence County,Rhode Island,"Woonsocket, Providence County, Rhode Island, 02895, United States",42.0028761,-71.5147839,ok,44007
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"Houston, Texas",Harris County,Texas,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,ok,48201
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",Richmond,Virginia,"Richmond, Virginia, United States",37.5385087,-77.43428,ok,51760
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",Fulton County,Georgia,"Atlanta, Fulton County, Georgia, United States",33.7544657,-84.3898151,ok,13121
