event_date,flag,theta_eav_fitted,theta_eav_empirical,r2_d,g_d,vix2_d_lag,baseline_d,stock,guide_updated,guide_midpoint,guide_delta_pct,note,op_leverage_1,op_leverage_2,op_leverage_3,matched_fy_end
2024-11-08,stable,0.0054602620354209,-0.0023638090426062,0.0001115865136487,0.5072419005986062,231.0399942016602,0.0025837958250804,0981.HK,0.0,7.3,0.0,held,3.796966413353666,0.5074872855586038,3.878975284581654,2023-12-31
2024-11-15,change,-3.395420727417256e-05,-0.0002662823723024,0.0,0.9115502560439356,204.7761120094301,0.0002662823723024,2330.TW,1.0,31.0,3.3333333333333335,FY2024 narrow to high end,1.436299338707348,0.2788312156818104,1.469357726323448,2023-12-31
2025-02-11,change,0.0056803866210197,0.0015284702716232,0.0028856888335617,0.6922564605206009,249.9561132682802,0.0026400554094396,0981.HK,1.0,7.3,0.0,FY2025 guide ~$7.3bn reconfirm,3.796966413353666,0.5074872855586038,3.878975284581654,2023-12-31
2025-02-12,change,0.0007029416032416,0.0092413869683879,0.0068117603855165,0.6554913613226687,256.64041466674826,0.0011504515628957,GFS,1.0,0.7,0.0,FY2025 guide ~$0.7bn,1.375,0.2480187319884726,1.4356060606060606,2023-12-31
2025-02-27,change,0.0007235338801488,-0.0003291765874868,5.249008756113364e-06,0.8305895829401494,364.8100145721437,0.0003354962053389,2303.TW,1.0,1.8,-45.454545454545446,FY2025 guide ~$1.8bn (slowdown),1.2571128223007626,0.186457267244577,1.2993805355174182,2024-12-31
2025-03-03,change,-3.395420727417256e-05,-9.188440612796066e-06,0.0003770631975677,1.0094146794260193,446.4768645339973,0.0003827348187793,2330.TW,1.0,40.0,29.03225806451613,FY2025 guide RAISED,1.1315688722384285,0.2466956540075888,1.1650444422339754,2024-12-31
2025-04-24,stable,0.0003842648235393,0.0004413266990145,0.0014763040670528,1.5796053660553842,809.4025434112555,0.0004932763979219,2303.TW,0.0,1.8,0.0,held,1.2571128223007626,0.186457267244577,1.2993805355174182,2024-12-31
2025-05-07,stable,0.0007029442221314,-0.001524560068982,0.0001172097868547,0.5659408605168567,613.0576113342286,0.0017316661378877,GFS,0.0,0.7,0.0,held,1.2237037037037035,0.2152932442464736,1.283111111111111,2024-12-31
2025-05-09,stable,0.0054602620354209,0.007893772205722,0.0023804834174833,0.2107851521612226,505.3503794189455,0.0033996390857078,0981.HK,0.0,7.3,0.0,held,3.5522373134181517,0.5625353858668235,3.629434585969152,2024-12-31
2025-05-16,stable,-5.712908055993329e-05,-0.0002927636371289,2.522564315651137e-05,0.9000610782949522,317.9088972793579,0.0003207902275069,2330.TW,0.0,40.0,0.0,held,1.1315688722384285,0.2466956540075888,1.1650444422339754,2024-12-31
2025-07-31,stable,0.0003842648235393,0.0005274947084404,0.0005655994175967,0.6909635055906032,239.63038582763693,0.0002910715588377,2303.TW,0.0,1.8,0.0,held,1.2571128223007626,0.186457267244577,1.2993805355174182,2024-12-31
2025-08-06,stable,0.0007029442221314,-0.0010177994305713,0.0002968304683436,1.2699867337246726,318.6225136184694,0.0012515266502825,GFS,0.0,0.7,0.0,held,1.2237037037037035,0.2152932442464736,1.283111111111111,2024-12-31
2025-08-08,stable,0.0054602620354209,0.0242581720734451,0.0072990673457284,0.2706223069147835,274.5648898864747,0.0027132458741037,0981.HK,0.0,7.3,0.0,held,3.5522373134181517,0.5625353858668235,3.629434585969152,2024-12-31
2025-08-15,stable,-5.712908055993329e-05,-0.0002533974018268,1.8031840150126858e-05,0.8933000909750465,219.9288977371216,0.0002735830486573,2330.TW,0.0,40.0,0.0,held,1.1315688722384285,0.2466956540075888,1.1650444422339754,2024-12-31
2025-10-30,change,0.0007235338801488,-0.0002630056885102,2.9893363407086968e-05,0.6699019157385927,286.2864025817871,0.0003076291814497,2303.TW,1.0,1.65,-8.333333333333341,FY2025 trimmed,1.2571128223007626,0.186457267244577,1.2993805355174182,2024-12-31
2025-11-13,change,0.0007029416032416,0.002047049765905,0.0018802165167303,0.5734165808648165,306.60010801544195,0.0012319215430422,GFS,1.0,0.68,-2.857142857142844,FY2025 reconfirm with slight tighten,1.2237037037037035,0.2152932442464736,1.283111111111111,2024-12-31
2025-11-14,stable,0.0054602620354209,-0.000660426349499,0.0007935971718946,0.3271373471440576,400.0,0.0030863100916728,0981.HK,0.0,7.3,0.0,held,3.5522373134181517,0.5625353858668235,3.629434585969152,2024-12-31
2025-11-17,change,-3.395420727417256e-05,-0.0002121949095098,0.0001088858077999,0.7515336190236005,393.22889697418213,0.000357079722436,2330.TW,1.0,42.0,5.0,FY2025 RAISED to 42bn,1.1315688722384285,0.2466956540075888,1.1650444422339754,2024-12-31
