test_id,signal,target,outcome,n_obs,coef,hac_t,p_value,r2,control_coef,abs_t,bh_q,bonferroni_p,harvey_pass,bh_pass_5pct
T30,single_stock_NVDA,NVDA_rv5,underlying_specific_rv,943,0.00048124639787868373,1.4587091743563911,0.14464516992156148,0.014317241539577918,0.07671865208125925,1.4587091743563911,0.31454423110138724,1.0,False,False
T08,defined_outcome,QQQ_rv5,index_or_vol_proxy,1327,0.0002906185521414849,1.4002855399600653,0.16142782920814558,0.14342982783299152,0.35661656294224786,1.4002855399600653,0.31454423110138724,1.0,False,False
T13,single_stock_leveraged,TSLA_rv5,family_to_underlying_rv,943,0.0009463250314948613,1.3684553225710494,0.1711695975801606,0.013435323130253862,0.0877501491290345,1.3684553225710494,0.31454423110138724,1.0,False,False
T07,defined_outcome,SPY_rv5,index_or_vol_proxy,1327,0.00022481924318451554,1.3671778045009635,0.17156958060075667,0.13350999176139666,0.3375844068287733,1.3671778045009635,0.31454423110138724,1.0,False,False
T28,single_stock_MSFT,MSFT_rv5,underlying_specific_rv,905,0.00011035454282080242,1.2904895952145676,0.1968807221170803,0.050436090955178536,0.19739726433047042,1.2904895952145676,0.3419507278875605,1.0,False,False
T01,option_income,SPY_rv5,index_or_vol_proxy,1327,0.00012305292000001905,1.0800171340711222,0.2801345503263667,0.1255886711045464,0.3400605702971539,1.0800171340711222,0.462222008038505,1.0,False,False
T02,option_income,QQQ_rv5,index_or_vol_proxy,1327,0.00013845952076428452,0.9435310570965846,0.3454093374511106,0.13500233101343895,0.35631656692450203,0.9435310570965846,0.5427861017088881,1.0,False,False
T31,single_stock_NVDA,NVDA_left_loss5,underlying_specific_left_loss,943,0.002446975120448785,0.7953522539403884,0.4264086254287973,0.0015970283909340077,-0.009111297327992526,0.7953522539403884,0.6131009628114,1.0,False,False
T05,option_income,VIX_chg5,index_or_vol_proxy,1337,-0.007450685092151783,-0.7937984206196722,0.42731279226249097,0.04167779491768453,-0.19023526351208792,0.7937984206196722,0.6131009628114,1.0,False,False
T22,single_stock_AMD,AMD_rv5,underlying_specific_rv,666,0.00037233153427237314,0.7019928736675399,0.482683607674265,0.016809126792077245,0.1157691648641812,0.7019928736675399,0.6381593101624689,1.0,False,False
T11,defined_outcome,VIX_chg5,index_or_vol_proxy,1337,0.006284258789402195,0.7007580484523586,0.4834540228503552,0.04132992062022067,-0.20621221374154738,0.7007580484523586,0.6381593101624689,1.0,False,False
T18,single_stock_leveraged,MSFT_rv5,family_to_underlying_rv,943,9.39555494607106e-05,0.5558060050138827,0.5783434799434051,0.0478514552854028,0.20786752928502006,0.5558060050138827,0.7340513399281681,1.0,False,False
T10,defined_outcome,SPY_left_loss5,index_or_vol_proxy,1327,-0.0005247376655413277,-0.3720669108596212,0.709843031892132,0.005470203883277791,-0.07132929191935469,0.3720669108596212,0.8422992551267565,1.0,False,False
T04,option_income,SPY_left_loss5,index_or_vol_proxy,1327,0.0006274127940123844,0.36558046276100564,0.7146781558651267,0.005597119180040688,-0.07842965265019156,0.36558046276100564,0.8422992551267565,1.0,False,False
T21,single_stock_AAPL,AAPL_left_loss5,underlying_specific_left_loss,925,-0.0002905360923638119,-0.1611703635169222,0.8719592224207265,0.013930204253090217,-0.11696768203496687,0.1611703635169222,0.9686566541531113,1.0,False,False
T23,single_stock_AMD,AMD_left_loss5,underlying_specific_left_loss,666,-0.0006150409471924337,-0.13423985932477384,0.8932129079530685,0.0005195225921547086,0.01946700665621697,0.13423985932477384,0.9686566541531113,1.0,False,False
T12,defined_outcome,VVIX_chg5,index_or_vol_proxy,1296,0.000685269637892436,0.10317944475349103,0.9178205535403668,0.05913282206729853,-0.24368876833395323,0.10317944475349103,0.9686566541531113,1.0,False,False
T27,single_stock_GOOGL,GOOGL_left_loss5,underlying_specific_left_loss,905,0.00021131222781310517,0.07614539846065246,0.9393034222090776,0.001933544595604464,-0.043492239922571,0.07614539846065246,0.9686566541531113,1.0,False,False
T33,single_stock_TSLA,TSLA_left_loss5,underlying_specific_left_loss,943,7.083744339092166e-05,0.01798008810777522,0.9856547382323307,0.00950126719987876,0.09748115845395433,0.01798008810777522,0.9856547382323307,1.0,False,False
