rep,horizon,total_variance_lift,avg_abs_corr_delta
2,9,0.09212650383505161,0.12206612523346094
2,10,0.05145344448119782,0.13413344912913708
2,11,0.013860437369697998,0.1276155342388458
2,12,0.004317145635965414,0.11529440944627085
2,13,-0.022099130942819345,0.107553646430911
2,14,-0.009238507126082651,0.10873318851642748
2,15,-0.038279431461965885,0.11259820310740769
2,16,-0.08859067691015887,0.10641497222602617
2,17,-0.11020346780989798,0.09690153233248242
2,18,-0.12429859830976009,0.10852803403600239
2,19,-0.13944036662463333,0.12106875207702703
2,20,-0.13674582090045828,0.13251281535825
2,21,-0.15849740001719737,0.13772378420409412
2,22,-0.18574889556348795,0.12428696275953746
2,23,-0.16840870688546694,0.1440062989366121
2,24,-0.08687972963556534,0.11907607797012532
2,25,-0.1326794773724701,0.12032701565191133
2,26,-0.17456483395440958,0.11734415073777663
2,27,-0.1451145193521799,0.12933271517235118
2,28,-0.1103999302256713,0.16627725247196273
2,29,-0.159480634190873,0.16668354768351268
2,30,-0.19223554512185215,0.1635605012648215
2,31,-0.2008559241961193,0.14350925182027038
2,32,-0.23158615202319932,0.1441230165651815
2,33,-0.21107854103947943,0.18432127955983946
2,34,-0.25099230411112416,0.19038392652408206
2,35,-0.25797639307809894,0.18293615896281148
2,36,-0.2905952964013502,0.16790890671701314
2,37,-0.2792844216422087,0.17468235663073658
2,38,-0.2851991955321135,0.1520113061814588
2,39,-0.3238090410569542,0.14938305225755752
2,40,-0.3328860731154173,0.1431930690010307
2,41,-0.35798026282263085,0.11430432932811763
2,42,-0.3249650435615329,0.12067977173087789
2,43,-0.29645305467991057,0.17314506903872318
2,44,-0.33129245820775977,0.17184453994924465
2,45,-0.34530083257015787,0.18824729452726582
2,46,-0.32080326744617893,0.1925008383258935
2,47,-0.32873805022912583,0.1717563222451403
2,48,-0.3613740331339985,0.1730528832312021
2,49,-0.377525551064706,0.19274004615948326
2,50,-0.30616665833286405,0.29101079105472316
2,51,-0.2989017375795513,0.3154846361531409
2,52,-0.3214233459432366,0.31317316014342944
2,53,-0.3587995607676462,0.3141642715279704
2,54,-0.35638234570705685,0.31694539627304563
2,55,-0.36671573638812416,0.29817637623181864
2,56,-0.3526596835103166,0.33526529535795346
2,57,-0.386884177595479,0.32690944537174216
2,58,-0.41077758660557273,0.3173550610094438
2,59,-0.4378203244598948,0.3116356308109208
2,60,-0.4622163177651982,0.31279146192218227
3,0,0.014521518484285512,0.026403189334758537
3,1,0.016559631198608482,0.047642448243084945
3,2,0.0752730484155597,0.05687728709059734
3,3,0.05986662662438236,0.051822774719868805
3,4,0.021352263865353827,0.05336269944186874
3,5,-0.027333814701941295,0.05447115146627788
3,6,-0.038422396741201514,0.07142664398351439
3,7,-0.06995780540042373,0.069564946611712
3,8,-0.1176304699301548,0.06901859094469279
3,9,-0.14356169981973332,0.07838220580753621
3,10,-0.18598876210224047,0.07403953095512222
3,11,-0.09503669540047888,0.11368294551359788
3,12,-0.1252884423788636,0.1078007505105942
3,13,-0.16190568279567907,0.12721213341382437
3,14,-0.19249704305604587,0.1113543983155139
3,15,-0.19822448808203652,0.11626728248355653
3,16,-0.21322740362841186,0.09678089360320523
3,17,-0.2232847017458941,0.08604116071228918
3,18,-0.2670246598680407,0.08567567331376591
3,19,-0.29302879698302187,0.08994601896734046
3,20,-0.3298514629649746,0.09145477871353329
3,21,-0.355770775996217,0.07972252454508828
3,22,-0.3676064549615071,0.08599774840878616
3,23,-0.36514734778672553,0.07424193046226707
3,24,-0.36978427373078004,0.07838341108274258
3,25,-0.4025631623737599,0.08224745269963099
3,26,-0.36169560275059565,0.08177396189277295
3,27,-0.3552095651772734,0.09124454620743953
3,28,-0.3481156030068646,0.07907474481699778
3,29,-0.36310665002566156,0.08174133530747973
3,30,-0.24302249929581732,0.12235321451625306
3,31,-0.25105756284695246,0.12717810449529124
3,32,-0.2056287432625099,0.17716982800858413
3,33,-0.22169627612121579,0.15125236129140673
3,34,-0.24483235696123418,0.12358911395779351
3,35,-0.28151347525420456,0.1268791148060851
3,36,-0.2729057539769364,0.1642931748658763
3,37,-0.3114056012327402,0.15621510276248743
3,38,-0.32590965086391277,0.1625355102247305
3,39,-0.3298459974839423,0.15659981046492186
3,40,-0.36501112295065063,0.15111560434046822
3,41,-0.39940463062427156,0.14774498787646434
3,42,-0.43107889627701146,0.14637388288498587
3,43,-0.4610349408207104,0.14201955338058792
3,44,-0.4863683380483489,0.14284006933086701
3,45,-0.4198584542562014,0.15287743472982568
3,46,-0.3699987849977455,0.1999951790899442
3,47,-0.4016272552638869,0.19385030081164978
3,48,-0.4247324039706316,0.18115836988139372
3,49,-0.44142385373695403,0.16752765078814963
3,50,-0.4581359767760941,0.1768813368235279
3,51,-0.45733939239193067,0.1587603071557357
3,52,-0.46876654678581253,0.1515805611675543
3,53,-0.49645694579675714,0.15302529460320252
3,54,-0.4441765632429029,0.16701542816946122
3,55,-0.2126583511684642,0.14281584447246093
3,56,-0.138993729993392,0.1317647051406908
3,57,-0.05088808024565483,0.16293440262632447
3,58,-0.09620603929285054,0.15832648665360322
3,59,-0.14785501748033958,0.15853934709554118
3,60,-0.18888862529283645,0.15568347208944305
4,0,-0.03510214132730749,0.01765638155245224
4,1,-0.015671261890857213,0.04919327733473987
4,2,-0.06196788889471161,0.04751319849724888
4,3,-0.08259445024298595,0.05795512972216364
4,4,-0.09716416937196926,0.05487217393637108
4,5,-0.13876091249106592,0.05455082016990333
4,6,-0.1700290760126667,0.03724102936869784
4,7,-0.17041205186708652,0.039026711494448516
4,8,-0.18183698811548554,0.042772240389064395
4,9,-0.1699560188152459,0.042885865229624384
4,10,-0.16828851037833525,0.05093453668578733
4,11,-0.12025136411008241,0.06252548058610452
4,12,-0.1328563285651152,0.059058938640246604
4,13,-0.1643673556008548,0.07008215002204336
4,14,-0.20420050427831904,0.0736501439066055
4,15,-0.2132727719570887,0.08461594884484144
4,16,-0.239073876886727,0.09232034884696652
4,17,-0.27807788768293173,0.09186321715508529
4,18,-0.2992938608312592,0.09949288812281724
4,19,-0.33400611389372714,0.09484994189780234
4,20,-0.25959249706389254,0.13337416100809496
4,21,-0.284343357486496,0.12807616048378012
4,22,-0.31430222919281714,0.133247381272195
4,23,-0.33933094864108304,0.12086060160193916
4,24,-0.3440169323139506,0.12806103528648932
4,25,-0.3562917628844221,0.11655068498921484
4,26,-0.3645202722036418,0.1063165706854751
4,27,-0.4003066880805597,0.10595108328695182
4,28,-0.4215823112240107,0.11022142894052638
4,29,-0.45170925452942245,0.11032716163719265
4,30,-0.4729154777450414,0.10322142283714611
4,31,-0.4825989924949813,0.10997675595373506
4,32,-0.48058704196231516,0.09794417947301112
4,33,-0.48438080325858834,0.10403217657083819
4,34,-0.5111992775169558,0.10789621818772661
4,35,-0.4777629518472978,0.10742272738086855
4,36,-0.47245631581111225,0.11689331169553516
4,37,-0.46665229835557587,0.09220974807448637
4,38,-0.4789174185357771,0.09465909043135863
4,39,-0.3806690080950538,0.13931477580062096
4,40,-0.38724299989073396,0.13907920159336215
4,41,-0.35007482003316814,0.18785763216479545
4,42,-0.3632206811104004,0.16194016544761808
4,43,-0.3821497666936735,0.13567994516353138
4,44,-0.41216090091554225,0.13953274659270742
4,45,-0.40511838174987014,0.17540433144633344
4,46,-0.4366175327377724,0.1673262593429446
4,47,-0.44848420966853497,0.17364666680518764
4,48,-0.4517047828749997,0.167710967045379
4,49,-0.4804755878401388,0.16222676092092536
4,50,-0.5086150836676615,0.15885614445692148
4,51,-0.5345297962533374,0.15952774149342294
4,52,-0.5590387238813569,0.16894203049671974
4,53,-0.5797655724583883,0.16976254644699887
4,54,-0.5253496456149159,0.1713264652292392
4,55,-0.4845563084428519,0.2180652730272059
